invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5percent,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,tax_5,year,month,month_name,day_name,day,hour,calculated_sales,sales_difference
INV-10495,B,Nashik,Member,Male,Food And Beverages,21.36,5.0,5.34,112.14,2027-05-10,09:01:00,Cash,106.8,4.7619,5.34,4.7,5.34,2027,5,May,Monday,10,9,112.14,0.0
INV-10421,C,Mumbai,Normal,Male,Sports And Travel,14.01,4.0,2.8,58.84,2027-02-25,14:00:00,Credit Card,56.04,4.7619,2.8,3.3,2.8,2027,2,February,Thursday,25,14,58.84,0.0
INV-10238,A,Pune,Normal,Male,Food And Beverages,90.9,4.0,18.18,381.78,2026-08-26,21:18:00,Credit Card,363.6,4.7619,18.18,4.1,18.18,2026,8,August,Wednesday,26,21,381.78,0.0
INV-10104,B,Nashik,Member,Female,Fashion Accessories,61.57,7.0,21.55,452.54,2026-04-14,16:33:00,Credit Card,430.99,4.7619,21.55,3.1,21.55,2026,4,April,Tuesday,14,16,452.54,0.0
INV-10176,A,Pune,Normal,Male,Home And Lifestyle,66.64,8.0,26.66,559.78,2026-06-25,21:56:00,Credit Card,533.12,4.7619,26.66,4.9,26.66,2026,6,June,Thursday,25,21,559.78,0.0
INV-10463,C,Mumbai,Member,Male,Sports And Travel,71.54,7.0,25.04,525.82,2027-04-08,16:54:00,Upi,500.78,4.7619,25.04,4.5,25.04,2027,4,April,Thursday,8,16,525.82,0.0
INV-10405,A,Pune,Member,Male,Food And Beverages,94.36,1.0,4.72,99.08,2027-02-09,19:33:00,Upi,94.36,4.7619,4.72,2.9,4.72,2027,2,February,Tuesday,9,19,99.08,0.0
INV-10047,A,Pune,Member,Female,Health And Beauty,67.15,8.0,26.86,564.06,2026-02-16,17:36:00,Upi,537.2,4.7619,26.86,4.1,26.86,2026,2,February,Monday,16,17,564.06,0.0
INV-10180,A,Pune,Normal,Female,Electronic Accessories,43.43,8.0,17.37,364.81,2026-06-29,13:09:00,Upi,347.44,4.7619,17.37,4.1,17.37,2026,6,June,Monday,29,13,364.81,0.0
INV-10031,B,Nashik,Normal,Male,Health And Beauty,67.62,9.0,30.43,639.01,2026-01-31,10:31:00,Cash,608.58,4.7619,30.43,4.2,30.43,2026,1,January,Saturday,31,10,639.01,0.0
INV-10232,B,Nashik,Normal,Male,Sports And Travel,59.47,4.0,11.89,249.77,2026-08-20,17:16:00,Cash,237.88,4.7619,11.89,4.5,11.89,2026,8,August,Thursday,20,17,249.77,0.0
INV-10215,C,Mumbai,Member,Female,Fashion Accessories,49.89,1.0,2.49,52.38,2026-08-03,17:55:00,Upi,49.89,4.7619,2.49,4.3,2.49,2026,8,August,Monday,3,17,52.38,0.0
INV-10007,A,Pune,Normal,Female,Sports And Travel,34.71,8.0,13.88,291.56,2026-01-07,12:31:00,Upi,277.68,4.7619,13.88,4.1,13.88,2026,1,January,Wednesday,7,12,291.56,0.0
INV-10094,B,Nashik,Member,Female,Electronic Accessories,57.92,1.0,2.9,60.82,2026-04-04,10:13:00,Upi,57.92,4.7619,2.9,4.5,2.9,2026,4,April,Saturday,4,10,60.82,0.0
INV-10385,C,Mumbai,Normal,Male,Fashion Accessories,77.25,6.0,23.18,486.68,2027-01-20,11:50:00,Cash,463.5,4.7619,23.18,4.1,23.18,2027,1,January,Wednesday,20,11,486.68,0.0
INV-10365,C,Mumbai,Member,Female,Health And Beauty,98.38,9.0,44.27,929.69,2026-12-31,09:02:00,Credit Card,885.42,4.7619,44.27,4.1,44.27,2026,12,December,Thursday,31,9,929.69,0.0
INV-10338,C,Mumbai,Member,Female,Electronic Accessories,80.24,2.0,8.02,168.5,2026-12-04,17:40:00,Cash,160.48,4.7619,8.02,2.7,8.02,2026,12,December,Friday,4,17,168.5,0.0
INV-10407,B,Nashik,Normal,Female,Food And Beverages,66.81,5.0,16.7,350.75,2027-02-11,19:31:00,Upi,334.05,4.7619,16.7,4.4,16.7,2027,2,February,Thursday,11,19,350.75,0.0
INV-10085,A,Pune,Normal,Male,Sports And Travel,80.76,5.0,20.19,423.99,2026-03-26,13:18:00,Credit Card,403.8,4.7619,20.19,3.2,20.19,2026,3,March,Thursday,26,13,423.99,0.0
INV-10359,C,Mumbai,Normal,Female,Sports And Travel,12.06,5.0,3.02,63.32,2026-12-25,11:47:00,Upi,60.3,4.7619,3.02,5.0,3.02,2026,12,December,Friday,25,11,63.32,0.0
INV-10373,A,Pune,Normal,Female,Home And Lifestyle,43.43,9.0,19.54,410.41,2027-01-08,15:52:00,Cash,390.87,4.7619,19.54,2.8,19.54,2027,1,January,Friday,8,15,410.41,0.0
INV-10313,A,Pune,Member,Male,Sports And Travel,27.46,1.0,1.37,28.83,2026-11-09,11:43:00,Credit Card,27.46,4.7619,1.37,4.6,1.37,2026,11,November,Monday,9,11,28.83,0.0
INV-10041,A,Pune,Normal,Male,Health And Beauty,99.59,2.0,9.96,209.14,2026-02-10,11:18:00,Upi,199.18,4.7619,9.96,3.4,9.96,2026,2,February,Tuesday,10,11,209.14,0.0
INV-10445,C,Mumbai,Member,Female,Electronic Accessories,45.41,4.0,9.08,190.72,2027-03-21,17:32:00,Upi,181.64,4.7619,9.08,4.8,9.08,2027,3,March,Sunday,21,17,190.72,0.0
INV-10155,C,Mumbai,Member,Female,Sports And Travel,86.32,9.0,38.84,815.72,2026-06-04,13:12:00,Upi,776.88,4.7619,38.84,4.5,38.84,2026,6,June,Thursday,4,13,815.72,0.0
INV-10235,A,Pune,Member,Male,Food And Beverages,48.19,4.0,9.64,202.4,2026-08-23,18:56:00,Credit Card,192.76,4.7619,9.64,3.9,9.64,2026,8,August,Sunday,23,18,202.4,0.0
INV-10452,B,Nashik,Normal,Female,Fashion Accessories,75.26,5.0,18.82,395.12,2027-03-28,11:18:00,Upi,376.3,4.7619,18.82,3.9,18.82,2027,3,March,Sunday,28,11,395.12,0.0
INV-10178,B,Nashik,Member,Female,Sports And Travel,15.82,5.0,3.96,83.06,2026-06-27,14:09:00,Credit Card,79.1,4.7619,3.96,3.9,3.96,2026,6,June,Saturday,27,14,83.06,0.0
INV-10127,C,Mumbai,Member,Male,Home And Lifestyle,35.0,9.0,15.75,330.75,2026-05-07,16:11:00,Cash,315.0,4.7619,15.75,3.6,15.75,2026,5,May,Thursday,7,16,330.75,0.0
INV-10282,A,Pune,Normal,Male,Sports And Travel,60.2,6.0,18.06,379.26,2026-10-09,14:53:00,Upi,361.2,4.7619,18.06,3.9,18.06,2026,10,October,Friday,9,14,379.26,0.0
INV-10384,C,Mumbai,Member,Female,Electronic Accessories,99.2,9.0,44.64,937.44,2027-01-19,13:19:00,Credit Card,892.8,4.7619,44.64,4.1,44.64,2027,1,January,Tuesday,19,13,937.44,0.0
INV-10424,B,Nashik,Normal,Male,Fashion Accessories,34.81,10.0,17.4,365.5,2027-02-28,09:33:00,Cash,348.1,4.7619,17.4,3.8,17.4,2027,2,February,Sunday,28,9,365.5,0.0
INV-10008,C,Unknown,Normal,Male,Sports And Travel,63.73,1.0,3.19,66.92,2026-01-08,14:54:00,Credit Card,63.73,4.7619,3.19,3.9,3.19,2026,1,January,Thursday,8,14,66.92,0.0
INV-10311,B,Nashik,Normal,Female,Health And Beauty,89.33,7.0,31.27,656.58,2026-11-07,13:26:00,Cash,625.31,4.7619,31.27,3.9,31.27,2026,11,November,Saturday,7,13,656.58,0.0
INV-10168,A,Pune,Member,Male,Fashion Accessories,47.67,9.0,21.45,450.48,2026-06-17,11:27:00,Credit Card,429.03,4.7619,21.45,4.2,21.45,2026,6,June,Wednesday,17,11,450.48,0.0
INV-10116,C,Mumbai,Normal,Female,Food And Beverages,69.97,7.0,24.49,514.28,2026-04-26,20:56:00,Cash,489.79,4.7619,24.49,3.2,24.49,2026,4,April,Sunday,26,20,514.28,0.0
